
model_name,pc1,pc2,pc3
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 25),-8.125192827807592,-17.572831005925217,-11.517334101478884
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 30),-8.050803090878198,-17.826085493983186,-11.553318395666883
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 35),-7.936532212109508,-18.030437879970975,-11.548226235839522
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 40),-7.850176721707685,-18.158371097223146,-11.512661984931613
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 45),-7.745452028083431,-18.31496306839478,-11.530155810720116
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 5),-9.0557502362122,-15.809076266429722,-11.265871468157595
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 50),-7.6912903798841805,-18.42211865105583,-11.504501390072228
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 10),-1.2769488173058048,-18.640255454103702,-11.667443871687862
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 15),-1.8409460303378975,-19.040445893187965,-11.682142119135762
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 20),-2.2040308969466995,-19.225412890533715,-11.642137588728577
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 25),-2.4591359570319664,-19.423931393079013,-11.68291207082286
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 30),-2.668808691048516,-19.588518984131763,-11.632358607672572
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 35),-2.8222181651910603,-19.64590066787775,-11.659684178188416
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 40),-2.983687792046834,-19.739189317083337,-11.638602238643529
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 45),-3.0328745797935506,-19.816602561423615,-11.608219476804228
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 5),-0.6990857799305298,-18.18988216029143,-11.578798495646307
results/results_L2_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 50),-3.1971915726581424,-19.943467789881712,-11.561058589873117
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 10),-7.1166888621825946,-27.37588018322854,40.22407113013348
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 15),-7.542553570169973,-29.379506105183268,58.738912494947755
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 20),-7.902631431329257,-31.032669807979627,74.43750478288912
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 25),-8.220878213508287,-32.43438180725481,87.87090285411878
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 30),-8.493358964865141,-33.620829015399636,99.40083903930118
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 35),-8.721147489166324,-34.65604929474471,109.32283326124367
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 40),-8.924335334499522,-35.54501740689504,117.88801256997813
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 45),-9.0962909444761,-36.32205315702636,125.31979527968947
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 5),-6.576527290818837,-24.904323059877292,18.227025308084738
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 50),-9.25651424480128,-37.00610279393418,131.84261884827828
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 10),-74.42245184072577,93.80021323010406,-0.8087202162733262
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 15),-88.20785305614065,116.90315596792473,1.5552009897338215
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 20),-98.39367715665364,134.00283238959554,3.4848923346451373
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 25),-105.47964867910731,146.0503295017423,4.804829401304581
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 30),-110.98460035863621,155.18514648729163,5.889880062471613
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 35),-114.89374257171787,161.72288045312965,6.570726297144795
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 40),-117.77850819440772,166.26761956115917,7.114264117086014
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 45),-119.83085633318323,169.83529513206892,7.413010440613296
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 5),-52.244919737499465,56.45051701594973,-4.520752540229368
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 50),-121.1301381332152,172.1680606449369,7.649262994011635
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 10),111.43942597179709,49.17675488875915,-1.5881681715800613
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 15),137.09735021672185,64.83393049115827,0.9370843576318161
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 20),155.6079003483675,76.03026274151883,2.8951202744982645
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 25),168.44537816679014,83.8737979757795,4.362849490920179
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 30),178.00617006869228,89.3647502697367,5.389910852656834
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 35),185.28674455811102,93.85571051223164,6.218166314601882
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 40),190.15893103806278,96.80413476060706,6.737286095673808
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 45),193.55717954018294,98.92263280502648,7.087617869455839
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 5),72.002981103737,25.24562485951021,-5.255345119313979
results/results_none_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 50),195.7561088504833,100.20179778979933,7.229003417308982
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 10),-5.801889489566221,-21.53700088484838,-10.199968258786722
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 15),-5.8133743078943825,-21.57303860668612,-10.05908156315704
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 20),-5.8220102005254395,-21.60141636235463,-9.94409621443524
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 25),-5.828912035465323,-21.624920696090363,-9.84630775590415
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 30),-5.834643741576911,-21.64498103091731,-9.761072891422732
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 35),-5.839530669033205,-21.66244830730913,-9.685539610770421
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 40),-5.843777653052463,-21.677878289523292,-9.617797397531625
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 45),-5.847522196610184,-21.691658578565594,-9.556485251590797
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 5),-5.784675157676769,-21.486086738806847,-10.388171783110772
results/results_none_SGD_lr0.01_5_3_LeNet300_OutputOnly (Epoch 50),-5.850861391307907,-21.70407189954546,-9.500591205181411
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 10),-7.29589617566362,-19.19609444608956,-11.255502279446242
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 15),-7.396099036439249,-19.057256844989443,-11.273566823462515
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 20),-7.4646460694762595,-18.963043712061616,-11.286510261334353
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 25),-7.515217162625515,-18.894443345463984,-11.295815694206109
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 30),-7.553853886085391,-18.841667071312205,-11.303001720936061
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 35),-7.5841997308948494,-18.800281679195194,-11.30889017356017
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 40),-7.6086084873313755,-18.76714995648589,-11.313736570483922
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 45),-7.628769361876859,-18.739964145307745,-11.317805301933658
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 5),-7.121980615194231,-19.436002623278835,-11.228164217002698
results/results_none_SGD_lr0.01_5_3_LeNet300_HiddenLayerOnly (Epoch 50),-7.645704043869899,-18.717242273762977,-11.321303332100346
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 10),-3.4505335770098053,-20.374462206651163,-11.371713321763558
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 15),-3.3659975183489186,-20.344160582172936,-11.395617511800785
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 20),-3.319324210644953,-20.328214109276278,-11.409411277946761
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 25),-3.2916297697023182,-20.319882913895043,-11.418443701545916
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 30),-3.2723006297666886,-20.314043711522885,-11.424409906930364
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 35),-3.2580363586764993,-20.309478627913858,-11.429005596041856
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 40),-3.247112755153484,-20.30584080362229,-11.432493686311744
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 45),-3.2384364420733163,-20.30288669545472,-11.43524045387649
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 5),-3.6085703571395342,-20.441014598105678,-11.328588621071507
results/results_none_SGD_lr0.01_5_3_LeNet300_Full (Epoch 50),-3.2313072801628504,-20.30043008588544,-11.437494000789503
